row_operation,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
NA,intervention,Gulf War_Q37643,Operation Desert Shield_NA,NA,NA,NA,NA,NA,NA
NA,intervention,Iran–Israel proxy conflict_Q15059994,NA,NA,NA,NA,NA,NA,NA
Operation Unified Protector_Q3269455,intervention,Libyan Crisis_Q18702324,2011 Libyan Civil War_Q81545,2011 military intervention in Libya_Q210714,Operation Unified Protector_Q3269455,NA,NA,NA,NA
2016 Sirte offensive_Q24467647,intervention,Libyan Crisis_Q18702324,Libyan civil war (2014–)_Q16911838,American intervention in Libya_Q48731890,2016 Sirte offensive_Q24467647,NA,NA,NA,NA
NA,intervention,Libyan Crisis_Q18702324,Libyan civil war (2014–)_Q16911838,Derna campaign (2014–16)_Q18639765,NA,NA,NA,NA,NA
Operation Infinite Reach_Q837887,intervention,Operation Infinite Reach_Q837887,NA,NA,NA,NA,NA,NA,NA
U.S. raid on the Iranian Liaison Office in Arbil_Q7863480,intervention,U.S. raid on the Iranian Liaison Office in Arbil_Q7863480,NA,NA,NA,NA,NA,NA,NA
2014 American raid in Libya_Q23022941,intervention,War on Terror_Q185729,Insurgency in the Maghreb (2002–)_Q632787,Operation Enduring Freedom – Trans Sahara_Q2602154,2014 American raid in Libya_Q23022941,NA,NA,NA,NA
NA,intervention,War on Terror_Q185729,Insurgency in the Maghreb (2002–)_Q632787,Operation Enduring Freedom – Trans Sahara_Q2602154,December 2017 Chad Basin clash_Q60754741,NA,NA,NA,NA
NA,intervention,War on Terror_Q185729,Insurgency in the Maghreb (2002–)_Q632787,Operation Enduring Freedom – Trans Sahara_Q2602154,Islamist insurgency in Nigeria_Q1569328,NA,NA,NA,NA
Al-Karmah offensive (2015)_Q19864219,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Al-Karmah offensive (2015)_Q19864219,NA,NA,NA
Anbar campaign (2015–16)_Q22935666,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Anbar campaign (2015–16)_Q22935666,Battle of Fallujah (2016)_Q24205448,NA,NA
